,batch_size,lr,n_factor,weight_decay,train_loss,test_loss
0,100,0.01,30,1e-05,"[1.3038910627365112, 0.9197914004325867, 0.8414038419723511, 0.7883460521697998, 0.7562159895896912, 0.7348732352256775, 0.7214542627334595, 0.7104691863059998, 0.7007958292961121, 0.6955810785293579, 0.6885124444961548, 0.6841821670532227, 0.6810787320137024, 0.6761912107467651, 0.6757233738899231, 0.669959306716919, 0.669659435749054, 0.6677281260490417, 0.664858877658844, 0.6654384732246399]","[1.0099906921386719, 0.9961057901382446, 1.0269715785980225, 1.037917971611023, 1.0526665449142456, 1.06343674659729, 1.0810496807098389, 1.077703833580017, 1.089155912399292, 1.0778496265411377, 1.0869133472442627, 1.0873351097106934, 1.0932000875473022, 1.0901215076446533, 1.1046258211135864, 1.0988332033157349, 1.1025702953338623, 1.1019304990768433, 1.0940624475479126, 1.1029462814331055]"
1,100,0.01,30,5e-05,"[1.3133838176727295, 0.957794725894928, 0.8976019024848938, 0.8559016585350037, 0.8281986713409424, 0.806832492351532, 0.794325053691864, 0.784881591796875, 0.7796569466590881, 0.7733423709869385, 0.7706465721130371, 0.7654560208320618, 0.7634298205375671, 0.7607952356338501, 0.7580728530883789, 0.7576858997344971, 0.7578185200691223, 0.7566727995872498, 0.7562342882156372, 0.7546172142028809]","[1.0089712142944336, 0.982981264591217, 0.9690475463867188, 0.9729882478713989, 0.9755067825317383, 0.9849272966384888, 0.9825164079666138, 0.9881279468536377, 0.9856038093566895, 0.9861263036727905, 0.9918215870857239, 0.9861660003662109, 0.9901009202003479, 0.9865999221801758, 0.9853571057319641, 0.9867006540298462, 0.9939658641815186, 0.9898271560668945, 0.9938068389892578, 0.9910138249397278]"
2,100,0.01,30,8e-05,"[1.3246606588363647, 0.9901114702224731, 0.9441044330596924, 0.9091073274612427, 0.8837365508079529, 0.863692581653595, 0.8520853519439697, 0.843799889087677, 0.8386542797088623, 0.8350024223327637, 0.8310351371765137, 0.8293889164924622, 0.8274180889129639, 0.8257516622543335, 0.8255712985992432, 0.82435542345047, 0.8250841498374939, 0.8234517574310303, 0.822216272354126, 0.8234849572181702]","[1.0345712900161743, 0.9985488057136536, 0.9842675924301147, 0.9702409505844116, 0.9698358178138733, 0.965599775314331, 0.9677890539169312, 0.9648653268814087, 0.9629855751991272, 0.9679025411605835, 0.966549277305603, 0.9616273641586304, 0.9665237069129944, 0.9663357734680176, 0.9634501338005066, 0.967894434928894, 0.9653023481369019, 0.962189257144928, 0.9656971096992493, 0.9660794734954834]"
3,100,0.01,30,0.0001,"[1.323132038116455, 1.0001434087753296, 0.9663415551185608, 0.9404860734939575, 0.9208354353904724, 0.9069383144378662, 0.8974754810333252, 0.8895582556724548, 0.8831537365913391, 0.8789022564888, 0.8767707943916321, 0.8728764057159424, 0.8710052967071533, 0.8695905208587646, 0.8692728877067566, 0.869270384311676, 0.868560791015625, 0.8679870963096619, 0.8666927814483643, 0.8670326471328735]","[1.0226197242736816, 1.0041961669921875, 0.9804708361625671, 0.9672152400016785, 0.9724392294883728, 0.9649201035499573, 0.9649290442466736, 0.9671623706817627, 0.9608026146888733, 0.9624868035316467, 0.9658247232437134, 0.962213933467865, 0.9597783088684082, 0.958091139793396, 0.9587692022323608, 0.95737224817276, 0.9596947431564331, 0.9572893977165222, 0.9575058221817017, 0.9607998132705688]"
